"","Site","Year","Block","Group","Code","Plot","Genus","Species","Cover","Quadrant"
"144","Knepp",2024,"S","Y","SY112","112","Prunus","Prunus_spinosa",5,2
"145","Knepp",2024,"S","Y","SY112","112","Centaurium","Centaurium_erythraea",5,2
"146","Knepp",2024,"S","Y","SY112","112","Veronica","Veronica_serpyllifolia",5,2
"147","Knepp",2024,"S","Y","SY112","112","Agrostis","Agrostis_stolonifera",25,2
"148","Knepp",2024,"S","Y","SY112","112","Veronica","Veronica_serpyllifolia",1,2
"149","Knepp",2024,"S","Y","SY112","112","Sagina","Sagina_procumbens",3,2
"150","Knepp",2024,"S","Y","SY112","112","Rubus","Rubus_fruticosus",1,3
"151","Knepp",2024,"S","Y","SY112","112","Pulicaria","Pulicaria_dysenterica",10,3
"152","Knepp",2024,"S","Y","SY112","112","Sagina","Sagina_procumbens",5,3
"153","Knepp",2024,"S","Y","SY112","112","Prunus","Prunus_spinosa",1,3
"154","Knepp",2024,"S","Y","SY112","112","Prunella","Prunella_vulgaris",20,3
"155","Knepp",2024,"S","Y","SY112","112","Centaurium","Centaurium_erythraea",5,3
"156","Knepp",2024,"S","Y","SY112","112","Lotus","Lotus_pedunculatus",20,3
"157","Knepp",2024,"S","Y","SY112","112","Agrostis","Agrostis_stolonifera",20,3
"158","Knepp",2024,"S","Y","SY112","112","Vulpia","Vulpia_myuros",10,3
"159","Knepp",2024,"S","Y","SY112","112","Centaurium","Centaurium_erythraea",1,3
"160","Knepp",2024,"S","Y","SY112","112","Pulicaria","Pulicaria_dysenterica",20,4
"161","Knepp",2024,"S","Y","SY112","112","Prunus","Prunus_spinosa",10,4
"162","Knepp",2024,"S","Y","SY112","112","Lotus","Lotus_pedunculatus",1,4
"163","Knepp",2024,"S","Y","SY112","112","Sagina","Sagina_procumbens",5,4
"164","Knepp",2024,"S","Y","SY112","112","Veronica","Veronica_serpyllifolia",5,4
"165","Knepp",2024,"S","Y","SY112","112","Taraxacum","Taraxacum_officinale",1,4
"166","Knepp",2024,"S","Y","SY112","112","Vulpia","Vulpia_myuros",10,4
"167","Knepp",2024,"S","Y","SY112","112","Centaurium","Centaurium_erythraea",1,4
"168","Knepp",2024,"S","Y","SY112","112","Agrostis","Agrostis_stolonifera",20,4
"169","Knepp",2024,"S","Y","SY112","112","Trifolium","Trifolium_repens",5,4
"170","Knepp",2024,"S","Y","SY112","112","Jacobaea","Jacobaea_vulgaris",5,4
"171","Knepp",2024,"S","X","SX111","111","Pulicaria","Pulicaria_dysenterica",50,1
"172","Knepp",2024,"S","X","SX111","111","Rumex","Rumex_crispus",5,1
"173","Knepp",2024,"S","X","SX111","111","Holcus","Holcus_lanatus",10,1
"174","Knepp",2024,"S","X","SX111","111","Fraxinus","Fraxinus_excelsior",2,1
"175","Knepp",2024,"S","X","SX111","111","Hordeum","Hordeum_secalinum",15,1
"176","Knepp",2024,"S","X","SX111","111","Agrostis","Agrostis_stolonifera",20,1
"177","Knepp",2024,"S","X","SX111","111","Ranunculus","Ranunculus_acris",5,1
"178","Knepp",2024,"S","X","SX111","111","Senecio","Senecio_sylvaticus",5,1
"179","Knepp",2024,"S","X","SX111","111","Veronica","Veronica_serpyllifolia",10,1
"180","Knepp",2024,"S","X","SX111","111","Pulicaria","Pulicaria_dysenterica",30,2
"181","Knepp",2024,"S","X","SX111","111","Holcus","Holcus_lanatus",20,2
"182","Knepp",2024,"S","X","SX111","111","Ranunculus","Ranunculus_acris",10,2
"183","Knepp",2024,"S","X","SX111","111","Jacobaea","Jacobaea_erucifolia",10,2
"184","Knepp",2024,"S","X","SX111","111","Agrostis","Agrostis_stolonifera",40,2
"185","Knepp",2024,"S","X","SX111","111","Veronica","Veronica_serpyllifolia",5,2
"186","Knepp",2024,"S","X","SX111","111","Pulicaria","Pulicaria_dysenterica",10,3
"187","Knepp",2024,"S","X","SX111","111","Holcus","Holcus_lanatus",20,3
"188","Knepp",2024,"S","X","SX111","111","Fraxinus","Fraxinus_excelsior",20,3
"189","Knepp",2024,"S","X","SX111","111","Ranunculus","Ranunculus_acris",10,3
"190","Knepp",2024,"S","X","SX111","111","Vicia","Vicia_tetrasperma",5,3
"191","Knepp",2024,"S","X","SX111","111","Trifolium","Trifolium_repens",5,3
"192","Knepp",2024,"S","X","SX111","111","Agrostis","Agrostis_stolonifera",10,3
"193","Knepp",2024,"S","X","SX111","111","Alopecurus","Alopecurus_pratensis",5,3
"194","Knepp",2024,"S","X","SX111","111","Geranium","Geranium_molle",1,3
"195","Knepp",2024,"S","X","SX111","111","Pulicaria","Pulicaria_dysenterica",10,4
"196","Knepp",2024,"S","X","SX111","111","Trifolium","Trifolium_repens",20,4
"197","Knepp",2024,"S","X","SX111","111","Fraxinus","Fraxinus_excelsior",5,4
"198","Knepp",2024,"S","X","SX111","111","Jacobaea","Jacobaea_erucifolia",5,4
"199","Knepp",2024,"S","X","SX111","111","Holcus","Holcus_lanatus",5,4
"200","Knepp",2024,"S","X","SX111","111","Prunella","Prunella_vulgaris",5,4
"201","Knepp",2024,"S","X","SX111","111","Alopecurus","Alopecurus_pratensis",5,4
"202","Knepp",2024,"S","X","SX111","111","Agrostis","Agrostis_stolonifera",40,4
"203","Knepp",2024,"S","X","SX112","112","Quercus","Quercus_robur",30,1
"204","Knepp",2024,"S","X","SX112","112","Pulicaria","Pulicaria_dysenterica",20,1
"205","Knepp",2024,"S","X","SX112","112","Fraxinus","Fraxinus_excelsior",10,1
"206","Knepp",2024,"S","X","SX112","112","Holcus","Holcus_lanatus",5,1
"207","Knepp",2024,"S","X","SX112","112","Bromopsis","Bromopsis_ramosa",5,1
"208","Knepp",2024,"S","X","SX112","112","Vicia","Vicia_tetrasperma",5,1
"209","Knepp",2024,"S","X","SX112","112","Rumex","Rumex_crispus",1,1
"210","Knepp",2024,"S","X","SX112","112","Ranunculus","Ranunculus_acris",10,1
"211","Knepp",2024,"S","X","SX112","112","Cerastium","Cerastium_fontanum",5,1
"212","Knepp",2024,"S","X","SX112","112","Prunella","Prunella_vulgaris",5,1
"213","Knepp",2024,"S","X","SX112","112","Convolvulus","Convolvulus_arvensis",10,1
"214","Knepp",2024,"S","X","SX112","112","Pulicaria","Pulicaria_dysenterica",20,2
"215","Knepp",2024,"S","X","SX112","112","Holcus","Holcus_lanatus",10,2
"216","Knepp",2024,"S","X","SX112","112","Trifolium","Trifolium_repens",15,2
"217","Knepp",2024,"S","X","SX112","112","Ranunculus","Ranunculus_acris",10,2
"218","Knepp",2024,"S","X","SX112","112","Convolvulus","Convolvulus_arvensis",10,2
"219","Knepp",2024,"S","X","SX112","112","Jacobaea","Jacobaea_erucifolia",1,2
"220","Knepp",2024,"S","X","SX112","112","Sagina","Sagina_procumbens",5,2
"221","Knepp",2024,"S","X","SX112","112","Cerastium","Cerastium_fontanum",5,2
"222","Knepp",2024,"S","X","SX112","112","Fraxinus","Fraxinus_excelsior",1,2
"223","Knepp",2024,"S","X","SX112","112","Vicia","Vicia_tetrasperma",1,2
"224","Knepp",2024,"S","X","SX112","112","Agrostis","Agrostis_stolonifera",20,2
"225","Knepp",2024,"S","X","SX112","112","Pulicaria","Pulicaria_dysenterica",15,3
"226","Knepp",2024,"S","X","SX112","112","Trifolium","Trifolium_repens",10,3
"227","Knepp",2024,"S","X","SX112","112","Convolvulus","Convolvulus_arvensis",5,3
"228","Knepp",2024,"S","X","SX112","112","Ranunculus","Ranunculus_acris",10,3
"229","Knepp",2024,"S","X","SX112","112","Rumex","Rumex_obtusifolius",1,3
"230","Knepp",2024,"S","X","SX112","112","Fraxinus","Fraxinus_excelsior",1,3
"231","Knepp",2024,"S","X","SX112","112","Jacobaea","Jacobaea_erucifolia",1,3
"232","Knepp",2024,"S","X","SX112","112","Poa","Poa_trivialis",5,3
"233","Knepp",2024,"S","X","SX112","112","Festuca","Festuca_rubra",5,3
"234","Knepp",2024,"S","X","SX112","112","Cerastium","Cerastium_fontanum",5,3
"235","Knepp",2024,"S","X","SX112","112","Segina","Segina_procumbens",5,3
"236","Knepp",2024,"S","X","SX112","112","Agrostis","Agrostis_stolonifera",10,3
"237","Knepp",2024,"S","X","SX112","112","Melica","Melica_uniflora",10,3
"238","Knepp",2024,"S","X","SX112","112","Pulicaria","Pulicaria_dysenterica",15,4
"239","Knepp",2024,"S","X","SX112","112","Fraxinus","Fraxinus_excelsior",5,4
"240","Knepp",2024,"S","X","SX112","112","Trifolium","Trifolium_repens",10,4
"241","Knepp",2024,"S","X","SX112","112","Ranunculus","Ranunculus_acris",10,4
"242","Knepp",2024,"S","X","SX112","112","Agrostis","Agrostis_stolonifera",20,4
"243","Knepp",2024,"S","X","SX112","112","Poa","Poa_annua",5,4
"244","Knepp",2024,"S","X","SX112","112","Convolvulus","Convolvulus_arvensis",5,4
"245","Knepp",2024,"S","X","SX112","112","Jacobaea","Jacobaea_erucifolia",5,4
"246","Knepp",2024,"S","X","SX112","112","Segina","Segina_procumbens",5,4
"247","Knepp",2024,"S","X","SX112","112","Melica","Melica_uniflora",5,4
"248","Knepp",2024,"S","X","SX112","112","Bromus","Bromus_hordeaceus",10,4
"249","Knepp",2024,"S","X","SX112","112","Jacobaea","Jacobaea_vulgaris",1,4
"250","Knepp",2024,"S","X","SX113","113","Pulicaria","Pulicaria_dysenterica",20,1
"251","Knepp",2024,"S","X","SX113","113","Holcus","Holcus_lanatus",10,1
"252","Knepp",2024,"S","X","SX113","113","Salix","Salix_cinerea",40,1
"253","Knepp",2024,"S","X","SX113","113","Rubus","Rubus_fruticosus",5,1
"254","Knepp",2024,"S","X","SX113","113","Poa","Poa_trivialis",10,1
"255","Knepp",2024,"S","X","SX113","113","Salix","Salix_cinerea",60,2
"256","Knepp",2024,"S","X","SX113","113","Rubus","Rubus_fruticosus",15,2
"257","Knepp",2024,"S","X","SX113","113","Pulicaria","Pulicaria_dysenterica",10,2
"258","Knepp",2024,"S","X","SX113","113","Poa","Poa_trivialis",10,2
"259","Knepp",2024,"S","X","SX113","113","Salix","Salix_cinerea",100,3
"260","Knepp",2024,"S","X","SX113","113","Rubus","Rubus_fruticosus",50,3
"261","Knepp",2024,"S","X","SX113","113","Pulicaria","Pulicaria_dysenterica",30,3
"262","Knepp",2024,"S","X","SX113","113","Myosotis","Myosotis_sylvatica",5,3
"263","Knepp",2024,"S","X","SX113","113","Agrostis","Agrostis_stolonifera",20,3
"264","Knepp",2024,"S","X","SX113","113","Salix","Salix_cinerea",50,4
"265","Knepp",2024,"S","X","SX113","113","Pulicaria","Pulicaria_dysenterica",20,4
"266","Knepp",2024,"S","X","SX113","113","Agrostis","Agrostis_stolonifera",20,4
"267","Knepp",2024,"S","X","SX133","133","Trifolium","Trifolium_repens",5,1
"268","Knepp",2024,"S","X","SX133","133","Holcus","Holcus_lanatus",15,1
"269","Knepp",2024,"S","X","SX133","133","Rumex","Rumex_crispus",10,1
"270","Knepp",2024,"S","X","SX133","133","Ranunculus","Ranunculus_acris",5,1
"271","Knepp",2024,"S","X","SX133","133","Poa","Poa_trivialis",5,1
"272","Knepp",2024,"S","X","SX133","133","Cerastium","Cerastium_fontanum",5,1
"273","Knepp",2024,"S","X","SX133","133","Festuca","Festuca_rubra",10,1
"274","Knepp",2024,"S","X","SX133","133","Agrostis","Agrostis_stolonifera",40,1
"275","Knepp",2024,"S","X","SX133","133","Holcus","Holcus_lanatus",10,2
"276","Knepp",2024,"S","X","SX133","133","Crataegus","Crataegus_monogyna",1,2
"277","Knepp",2024,"S","X","SX133","133","Ranunculus","Ranunculus_acris",5,2
"278","Knepp",2024,"S","X","SX133","133","Cerastium","Cerastium_fontanum",1,2
"279","Knepp",2024,"S","X","SX133","133","Rumex","Rumex_crispus",10,2
"280","Knepp",2024,"S","X","SX133","133","Agrostis","Agrostis_stolonifera",50,2
"281","Knepp",2024,"S","X","SX133","133","Trifolium","Trifolium_repens",5,2
"282","Knepp",2024,"S","X","SX133","133","Festuca","Festuca_rubra",10,2
"283","Knepp",2024,"S","X","SX133","133","Holcus","Holcus_lanatus",10,3
"284","Knepp",2024,"S","X","SX133","133","Rumex","Rumex_crispus",10,3
"285","Knepp",2024,"S","X","SX133","133","Veronica","Veronica_persica",5,3
"286","Knepp",2024,"S","X","SX133","133","Agrostis","Agrostis_stolonifera",50,3
"287","Knepp",2024,"S","X","SX133","133","Festuca","Festuca_rubra",20,3
"288","Knepp",2024,"S","X","SX133","133","Holcus","Holcus_lanatus",5,4
"289","Knepp",2024,"S","X","SX133","133","Trifolium","Trifolium_repens",10,4
"290","Knepp",2024,"S","X","SX133","133","Poa","Poa_trivialis",5,4
"291","Knepp",2024,"S","X","SX133","133","Agrostis","Agrostis_stolonifera",50,4
"292","Knepp",2024,"S","X","SX133","133","Festuca","Festuca_rubra",20,4
"293","Knepp",2024,"S","X","SX133","133","Veronica","Veronica_persica",10,4
"294","Knepp",2024,"S","X","SX122","122","Trifolium","Trifolium_repens",5,1
"295","Knepp",2024,"S","X","SX122","122","Ranunculus","Ranunculus_repens",5,1
"296","Knepp",2024,"S","X","SX122","122","Festuca","Festuca_rubra",15,1
"297","Knepp",2024,"S","X","SX122","122","Agrostis","Agrostis_stolonifera",40,1
"298","Knepp",2024,"S","X","SX122","122","Holcus","Holcus_lanatus",5,1
"299","Knepp",2024,"S","X","SX122","122","Trifolium","Trifolium_repens",5,2
"300","Knepp",2024,"S","X","SX122","122","Jacobaea","Jacobaea_vulgaris",15,2
"301","Knepp",2024,"S","X","SX122","122","Geranium","Geranium_dissectum",10,2
"302","Knepp",2024,"S","X","SX122","122","Holcus","Holcus_lanatus",5,2
"303","Knepp",2024,"S","X","SX122","122","Agrostis","Agrostis_stolonifera",50,2
"304","Knepp",2024,"S","X","SX122","122","Festuca","Festuca_rubra",20,2
"305","Knepp",2024,"S","X","SX122","122","Trifolium","Trifolium_repens",10,3
"306","Knepp",2024,"S","X","SX122","122","Jacobaea","Jacobaea_aquatica",1,3
"307","Knepp",2024,"S","X","SX122","122","Stellaria","Stellaria_graminea",5,3
"308","Knepp",2024,"S","X","SX122","122","Pulicaria","Pulicaria_dysenterica",5,3
"309","Knepp",2024,"S","X","SX122","122","Jacobaea","Jacobaea_vulgaris",1,3
"310","Knepp",2024,"S","X","SX122","122","Geranium","Geranium_dissectum",5,3
"311","Knepp",2024,"S","X","SX122","122","Holcus","Holcus_lanatus",5,3
"312","Knepp",2024,"S","X","SX122","122","Festuca","Festuca_rubra",5,3
"313","Knepp",2024,"S","X","SX122","122","Agrostis","Agrostis_stolonifera",30,3
"314","Knepp",2024,"S","X","SX122","122","Prunella","Prunella_vulgaris",5,3
"315","Knepp",2024,"S","X","SX122","122","Trifolium","Trifolium_repens",5,4
"316","Knepp",2024,"S","X","SX122","122","Holcus","Holcus_lanatus",10,4
"317","Knepp",2024,"S","X","SX122","122","Ranunculus","Ranunculus_acris",10,4
"318","Knepp",2024,"S","X","SX122","122","Jacobaea","Jacobaea_vulgaris",1,4
"319","Knepp",2024,"S","X","SX122","122","Festuca","Festuca_rubra",20,4
"320","Knepp",2024,"S","X","SX122","122","Agrostis","Agrostis_stolonifera",50,4
"321","Knepp",2024,"S","Z","SZ222","222","Pulicaria","Pulicaria_dysenterica",10,1
"322","Knepp",2024,"S","Z","SZ222","222","Trifolium","Trifolium_repens",20,1
